Iteration,Hippopotamus,TLBO,Genetic Alg,PSO,ABC,SA,GWO,HS,CSA,LSA,EPO,Cuckoo Search,ABO,HEM,WSO,DE
15,481.44010964984477,505.10553910731124,166.1415998188805,552.8288685869654,588.3973615410031,130.19615932987745,431.7257335939822,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,516.1226064785926
16,481.44010964984477,505.10553910731124,164.8715356817463,552.8288685869654,588.3973615410031,130.19615932987745,406.38547362929796,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
17,481.44010964984477,505.10553910731124,154.27606116056944,552.8288685869654,588.3973615410031,130.19615932987745,370.04205762218004,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
18,481.44010964984477,505.10553910731124,159.12914185955873,552.8288685869654,588.3973615410031,155.06399061023893,354.2542693339668,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
19,481.44010964984477,505.10553910731124,151.49036332013284,552.8288685869654,588.3973615410031,181.8723948135057,388.6819676359397,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
20,481.44010964984477,505.10553910731124,132.013147073763,552.8288685869654,588.3973615410031,185.09114338064322,422.4407521906271,473.3398166468613,580.8017041436482,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
21,481.44010964984477,505.10553910731124,125.17715347195029,552.8288685869654,588.3973615410031,185.09114338064322,430.7684559064901,473.3398166468613,580.8017041436482,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
22,481.44010964984477,505.10553910731124,128.34860763860155,552.8288685869654,588.3973615410031,185.09114338064322,441.94724522029605,473.3398166468613,580.8017041436482,577.6586754911602,530.3851422463554,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
23,481.44010964984477,505.10553910731124,133.1092000849038,552.8288685869654,588.3973615410031,185.09114338064322,427.5203558787379,473.3398166468613,580.8017041436482,577.6586754911602,530.3851422463554,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
24,481.44010964984477,505.10553910731124,127.36413598451237,552.8288685869654,588.3973615410031,185.09114338064322,419.42408637651545,473.3398166468613,580.8017041436482,577.6586754911602,530.3851422463554,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,526.6794076890183
